"Grant ID","to","from","Amount","Recipient ID","Funder ID","Start year","End year"
"1497","College for Creative Studies","DTE Energy Foundation","30000","108","191","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1818","Covenant House Michigan","Carls Foundation","30000","120","592","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1660","Jon Brumit","John S. and James L. Knight Foundation, Inc.","30000","609","306","Sun, 01 Sep 2013 00:00:00 -0400","Mon, 01 Sep 2014 00:00:00 -0400"
"2545","Heidelberg Project","Kresge Foundation","30000","260","308","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1679","North American Residency","John S. and James L. Knight Foundation, Inc.","30000","623","306","Tue, 01 Jan 2013 05:00:00 -0500","Wed, 01 Jan 2014 05:00:00 -0500"
"2482","Detroit Artists Market","Kresge Foundation","30000","131","308","Sun, 01 Jan 2012 05:00:00 -0500","Tue, 01 Jan 2013 05:00:00 -0500"
"1183","Mariners Inn","Community Foundation for Southeast Michigan","30000","329","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1856","Friends School in Detroit","Matilda R. Wilson Fund ","30000","236","631","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2227","Legal Aid and Defender Association","United Way for Southeastern Michigan","30000","315","512","Tue, 01 Jan 2013 05:00:00 -0500","Wed, 01 Jan 2014 05:00:00 -0500"
"2483","Friends School in Detroit","Kresge Foundation","30000","236","308","Sun, 01 Jan 2012 05:00:00 -0500","Tue, 01 Jan 2013 05:00:00 -0500"
"1649","CutTime Productions","John S. and James L. Knight Foundation, Inc.","30000","597","306","Sun, 01 Sep 2013 00:00:00 -0400","Mon, 01 Sep 2014 00:00:00 -0400"
"1665","LO & BEHOLD! Records & Books","John S. and James L. Knight Foundation, Inc.","30000","613","306","Sun, 01 Sep 2013 00:00:00 -0400","Mon, 01 Sep 2014 00:00:00 -0400"
"2356","Millan Theatre Company","Fred A. & Barbara M. Erb Family Foundation","30000","572","206","Tue, 01 Jan 2013 00:00:00 -0500","Thu, 01 Jan 2015 00:00:00 -0500"
"2372","Wayne State University","Fred A. & Barbara M. Erb Family Foundation","30000","539","206","Tue, 01 Jan 2013 00:00:00 -0500","Thu, 01 Jan 2015 00:00:00 -0500"
"2484","Scarab Club","Kresge Foundation","30000","445","308","Sun, 01 Jan 2012 05:00:00 -0500","Tue, 01 Jan 2013 05:00:00 -0500"
"689","Central Detroit Christian Community Development Corporation","Skillman Foundation","30000","83","454","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1634","Random Acts of Culture: Detroit - Sphinx Organization","John S. and James L. Knight Foundation, Inc.","30000","427","306","Fri, 01 Jan 2010 05:00:00 -0500","Sat, 01 Jan 2011 05:00:00 -0500"
"1714","Detroit Area Pre-College Engineering Program, Inc","General Motors Foundation, Inc. ","30000","130","562","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2373","Wayne State University","Fred A. & Barbara M. Erb Family Foundation","30000","539","206","Tue, 01 Jan 2013 00:00:00 -0500","Thu, 01 Jan 2015 00:00:00 -0500"
"1827","Hillel Day School of Metro Detroit","Grosfeld Foundation","30000","606","602","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1684","The Secret Society of Twisted Storytellers","John S. and James L. Knight Foundation, Inc.","30000","627","306","Tue, 01 Jan 2013 05:00:00 -0500","Wed, 01 Jan 2014 05:00:00 -0500"
"2359","Motown Historical Museum","Fred A. & Barbara M. Erb Family Foundation","30000","371","206","Tue, 01 Jan 2013 00:00:00 -0500","Thu, 01 Jan 2015 00:00:00 -0500"
"1685","The Woodward Line Poetry Series","John S. and James L. Knight Foundation, Inc.","30000","628","306","Tue, 01 Jan 2013 05:00:00 -0500","Wed, 01 Jan 2014 05:00:00 -0500"
"1717","Detroit Economic Growth Association (DEGA)","General Motors Foundation, Inc. ","30000","146","562","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2264","Detroit Hispanic Development Corporation","Fred A. & Barbara M. Erb Family Foundation","30000","153","206","Sat, 01 Jan 2011 00:00:00 -0500","Sun, 01 Jan 2012 00:00:00 -0500"
"1990","Communities in Schools of Detroit, Inc ","W.K. Kellogg Foundation","30000","109","301","Tue, 01 Jan 2013 05:00:00 -0500","Wed, 01 Jan 2014 05:00:00 -0500"
"2297","Wayne State University","Fred A. & Barbara M. Erb Family Foundation","30000","539","206","Sat, 01 Jan 2011 00:00:00 -0500","Tue, 01 Jan 2013 00:00:00 -0500"
"2282","Millan Theatre Company","Fred A. & Barbara M. Erb Family Foundation","30000","572","206","Sat, 01 Jan 2011 00:00:00 -0500","Tue, 01 Jan 2013 00:00:00 -0500"
